table_name,table_purpose,column_name,data_type,not_null,primary_key,foreign_key_target
chat_messages,"Individual driver, agent, warehouse or operations messages.",thread_id,TEXT,True,False,chat_threads.thread_id
chat_messages,"Individual driver, agent, warehouse or operations messages.",sender_type,TEXT,True,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",sender_reference,TEXT,False,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",message_text,TEXT,True,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",message_ts,TEXT,True,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",external_message_id,TEXT,False,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",is_duplicate,INTEGER,True,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",parsed_intent,TEXT,False,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",extracted_eta_ts,TEXT,False,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",requires_human_review,INTEGER,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,exception_id,TEXT,False,True,
driver_exceptions,Structured exception information extracted from a conversation.,shipment_id,TEXT,False,False,shipments.shipment_id
driver_exceptions,Structured exception information extracted from a conversation.,driver_id,TEXT,True,False,drivers.driver_id
driver_exceptions,Structured exception information extracted from a conversation.,thread_id,TEXT,True,False,chat_threads.thread_id
driver_exceptions,Structured exception information extracted from a conversation.,exception_type,TEXT,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,reported_at,TEXT,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,reported_delay_min,INTEGER,False,False,
driver_exceptions,Structured exception information extracted from a conversation.,declared_eta_ts,TEXT,False,False,
driver_exceptions,Structured exception information extracted from a conversation.,earliest_acceptable_ts,TEXT,False,False,
driver_exceptions,Structured exception information extracted from a conversation.,latest_acceptable_ts,TEXT,False,False,
driver_exceptions,Structured exception information extracted from a conversation.,severity_code,TEXT,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,exception_status,TEXT,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,description,TEXT,True,False,
driver_exceptions,Structured exception information extracted from a conversation.,dedupe_key,TEXT,False,False,
operational_messages,External or internal confirmations and notifications.,operational_message_id,TEXT,False,True,
operational_messages,External or internal confirmations and notifications.,shipment_id,TEXT,True,False,shipments.shipment_id
operational_messages,External or internal confirmations and notifications.,appointment_id,TEXT,False,False,appointments.appointment_id
operational_messages,External or internal confirmations and notifications.,channel,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,sender_address,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,recipient_address,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,subject,TEXT,False,False,
operational_messages,External or internal confirmations and notifications.,message_body,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,sent_at,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,delivery_status,TEXT,True,False,
operational_messages,External or internal confirmations and notifications.,reply_to_message_id,TEXT,False,False,operational_messages.operational_message_id
